Date,Open,High,Low,Close,Adj Close,Volume
2021-06-17,594.000000,599.000000,591.500000,599.000000,599.000000,13771836
2021-06-18,602.000000,608.000000,599.500000,603.000000,603.000000,12301606
2021-06-21,600.000000,600.000000,582.500000,590.500000,590.500000,23508586
2021-06-22,589.000000,589.000000,571.500000,573.500000,573.500000,30872900
2021-06-23,580.000000,583.000000,573.000000,582.500000,582.500000,18388447
2021-06-24,584.000000,587.500000,580.000000,583.000000,583.000000,10947302
2021-06-25,588.500000,600.000000,584.000000,598.500000,598.500000,19252093
2021-06-28,603.000000,606.000000,592.000000,595.500000,595.500000,11485959
2021-06-29,600.000000,601.000000,588.000000,590.500000,590.500000,14714259
2021-06-30,597.500000,597.500000,584.000000,584.000000,584.000000,13618352
2021-07-02,598.500000,598.500000,572.500000,574.500000,574.500000,24938624
2021-07-05,570.000000,572.000000,548.500000,554.000000,554.000000,43338133
2021-07-06,552.000000,563.000000,549.000000,559.000000,559.000000,19473053
2021-07-07,552.000000,553.500000,538.500000,548.500000,548.500000,30520727
2021-07-08,540.000000,543.500000,523.500000,528.000000,528.000000,45688533
2021-07-09,525.000000,542.000000,509.500000,538.500000,538.500000,42922226
2021-07-12,549.500000,551.000000,522.500000,534.500000,534.500000,30642691
2021-07-13,541.000000,562.500000,533.000000,555.500000,555.500000,33125942
2021-07-14,560.000000,563.000000,554.000000,556.500000,556.500000,19908293
2021-07-15,561.500000,572.000000,560.500000,565.000000,565.000000,20179717
2021-07-16,567.000000,569.500000,557.000000,564.000000,564.000000,14760058
2021-07-19,560.000000,560.000000,545.500000,549.500000,549.500000,16914661
2021-07-20,549.000000,556.000000,539.000000,542.500000,542.500000,19813313
2021-07-21,542.500000,544.500000,530.000000,538.000000,538.000000,20300976
2021-07-22,545.000000,549.000000,537.000000,544.000000,544.000000,15692401
2021-07-23,546.000000,546.500000,529.000000,531.000000,531.000000,16758793
2021-07-26,510.000000,512.500000,489.200012,490.000000,490.000000,82290642
2021-07-27,465.399994,480.799988,438.799988,446.000000,446.000000,108027219
2021-07-28,451.000000,460.600006,422.000000,447.200012,447.200012,112864046
2021-07-29,480.000000,494.200012,468.600006,492.000000,492.000000,72896321
2021-07-30,487.600006,487.600006,465.000000,479.000000,479.000000,40460003
2021-08-02,476.000000,478.799988,459.200012,475.000000,475.000000,29445076
2021-08-03,468.799988,468.799988,423.600006,446.000000,446.000000,117812591
2021-08-04,435.000000,469.799988,434.000000,456.799988,456.799988,46103478
2021-08-05,452.600006,464.399994,432.600006,439.000000,439.000000,58625939
2021-08-06,444.799988,460.399994,440.000000,453.600006,453.600006,42946505
2021-08-09,447.799988,472.399994,442.600006,461.600006,461.600006,40956433
2021-08-10,478.000000,493.000000,473.200012,486.200012,486.200012,40881986
2021-08-11,490.200012,492.600006,480.000000,484.000000,484.000000,20145659
